rank_model,player_name,neutral_skill_sg,neutral_skill_index,data_depth_class,baseline_confidence_band,venue_fit_score,venue_fit_delta,venue_fit_confidence_band,comp_course_adjustment,venue_history_rounds,venue_history_sg,venue_history_delta,venue_history_confidence_band,pre_penalty_vts,blend_class,blend_weights_used,tier_eligibility_gate_status,debut_class,debut_penalty_applied,anti_pattern_flags,anti_pattern_penalty_total,anti_pattern_trigger_trace,anti_pattern_modifier_trace,primary_risk_trait,risk_stressor_active,risk_secondary_discount_applied,risk_discount_trace,form_score_adjusted,recent_form_index,recent_form_gate_applied,health_flag,health_gate_status,health_gate_reason,player_variance_band,volatility_index,venue_variance_class,variance_adjustment_trace,probability_compression_class,probability_compression_coefficients,probability_compression_trace,vts_final,tier,tier_reason,win_pct,top3_pct,top5_pct,top10_pct,top20_pct,make_cut_pct,miss_cut_pct,trace_notes
79,Michael Kim,-0.11,58.06,DEBUT,not_available_in_v3_source,39.93,39.93,1.0,not_available_in_v3_source,0,,50.06,NONE,50.01,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,48.68,48.68,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,50.01,3,competent approach (SG:APP +0.35) — sufficient for Birkdale's mid-iron corridors.,0.34,not_available_in_v3_source,2.13,4.81,10.75,42.6,57.4,"NSI=58.1(w=0.40) + VFS=39.9(w=0.30) + VHN=50.1(w=0.15) + FORM=48.7(w=0.15) = VTS=50.0. VFS = base 39.0 + links_delta +1.0. Links trace: raw_sig=+0.240; delta_vfs=+0.96; windows=[6m:-0.161(ev=1,conf=0.40→adj=-0.064) | 12m:+0.580(ev=3,conf=0.75→adj=+0.435) | 24m:+0.580(ev=3,conf=0.75→adj=+0.435) | alltime:+0.232(ev=5,conf=1.00→adj=+0.232)]"
80,Sami Valimaki,-0.11,49.03,DEBUT,not_available_in_v3_source,48.96,48.96,0.65,not_available_in_v3_source,0,,50.24,NONE,49.14,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,Anti-pattern flags: Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,48.68,48.68,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,49.14,3,strong approach game (SG:APP +0.41) in the primary scoring zone.,0.32,not_available_in_v3_source,2.03,4.61,10.41,40.5,59.5,"NSI=49.0(w=0.40) + VFS=49.0(w=0.30) + VHN=50.2(w=0.15) + FORM=48.7(w=0.15) = VTS=49.1. VFS = base 48.5 + links_delta +0.4. Links trace: raw_sig=+0.105; delta_vfs=+0.42; windows=[6m:no_data | 12m:+0.037(ev=1,conf=0.40→adj=+0.015) | 24m:+0.414(ev=4,conf=1.00→adj=+0.414) | alltime:-0.199(ev=14,conf=1.00→adj=-0.199)]"
81,Brooks Koepka,0.53,43.87,FULL,not_available_in_v3_source,41.6,41.6,1.0,not_available_in_v3_source,1,2.552,64.57,LIGHT,48.17,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,0.0,not_available_in_v3_source,not_available_in_v3_source,putting volatility on links fescue,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,56.36,56.36,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,48.17,3,competent approach (SG:APP +0.23) — sufficient for Birkdale's mid-iron corridors; single Birkdale event on record (SG +2.552/rd) — limited but positive signal; positive links SG signal (+0.559/rd) supports links-surface fit.,0.3,not_available_in_v3_source,1.92,4.41,10.04,38.2,61.8,"NSI=43.9(w=0.40) + VFS=41.6(w=0.30) + VHN=64.6(w=0.15) + FORM=56.4(w=0.15) = VTS=48.2. VFS = base 39.4 + links_delta +2.2. Links trace: raw_sig=+0.559; delta_vfs=+2.24; windows=[6m:-0.161(ev=1,conf=0.40→adj=-0.064) | 12m:+1.058(ev=2,conf=0.75→adj=+0.794) | 24m:+1.229(ev=4,conf=1.00→adj=+1.229) | alltime:+0.583(ev=21,conf=1.00→adj=+0.583)]"
82,Ryan Fox,0.51,55.48,FULL,not_available_in_v3_source,33.55,33.55,1.0,not_available_in_v3_source,1,0.022,48.98,LIGHT,48.02,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,approach liability in primary scoring zone,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,56.12,56.12,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,48.02,3,competent approach (SG:APP +0.22) — sufficient for Birkdale's mid-iron corridors; single Birkdale event on record (SG +0.022/rd) — limited but positive signal.,0.3,not_available_in_v3_source,1.9,4.37,9.99,37.8,62.2,"NSI=55.5(w=0.40) + VFS=33.5(w=0.30) + VHN=49.0(w=0.15) + FORM=56.1(w=0.15) = VTS=48.0. VFS = base 31.8 + links_delta +1.8. Links trace: raw_sig=+0.446; delta_vfs=+1.78; windows=[6m:+1.168(ev=1,conf=0.40→adj=+0.467) | 12m:+0.477(ev=2,conf=0.75→adj=+0.358) | 24m:+0.544(ev=5,conf=1.00→adj=+0.544) | alltime:+0.480(ev=27,conf=1.00→adj=+0.480)]"
83,Michael Brennan,0.07,52.9,DEBUT,not_available_in_v3_source,39.17,39.17,1.0,not_available_in_v3_source,0,,49.13,NONE,47.91,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,0.0,not_available_in_v3_source,not_available_in_v3_source,putting volatility on links fescue; below-field structural skill profile,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,50.84,50.84,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,47.91,4,competent approach (SG:APP +0.13) — sufficient for Birkdale's mid-iron corridors.,0.3,not_available_in_v3_source,1.89,4.35,9.95,37.5,62.5,"NSI=52.9(w=0.40) + VFS=39.2(w=0.30) + VHN=49.1(w=0.15) + FORM=50.8(w=0.15) = VTS=47.9. VFS = base 38.9 + links_delta +0.3. Links trace: raw_sig=+0.067; delta_vfs=+0.27; windows=[6m:+0.168(ev=1,conf=0.40→adj=+0.067) | 12m:+0.168(ev=1,conf=0.40→adj=+0.067) | 24m:+0.168(ev=1,conf=0.40→adj=+0.067) | alltime:+0.168(ev=1,conf=0.40→adj=+0.067)]"
84,Eugenio Chacarra,1.3,43.23,DEBUT,not_available_in_v3_source,41.36,41.36,1.0,not_available_in_v3_source,0,,49.64,NONE,46.99,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone.,0.0,not_available_in_v3_source,not_available_in_v3_source,approach liability in primary scoring zone; below-field structural skill profile,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,65.6,65.6,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,46.99,4,near-average approach (SG:APP -0.05) — below the Birkdale threshold.,0.28,not_available_in_v3_source,1.79,4.17,9.61,35.4,64.6,"NSI=43.2(w=0.40) + VFS=41.4(w=0.30) + VHN=49.6(w=0.15) + FORM=65.6(w=0.15) = VTS=47.0. VFS = base 42.8 + links_delta -1.4. Links trace: raw_sig=-0.361; delta_vfs=-1.44; windows=[6m:+0.168(ev=1,conf=0.40→adj=+0.067) | 12m:-0.502(ev=4,conf=1.00→adj=-0.502) | 24m:-0.695(ev=5,conf=1.00→adj=-0.695) | alltime:-0.695(ev=5,conf=1.00→adj=-0.695)]"
85,Francesco Molinari,0.26,31.61,FULL,not_available_in_v3_source,66.23,66.23,1.0,not_available_in_v3_source,1,-0.478,42.91,LIGHT,46.92,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,0.0,not_available_in_v3_source,not_available_in_v3_source,putting volatility on links fescue; below-field structural skill profile,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,53.12,53.12,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,46.92,4,competent approach (SG:APP +0.27) — sufficient for Birkdale's mid-iron corridors; single Birkdale event on record (SG -0.478/rd) — limited but positive signal; positive links SG signal (+0.723/rd) supports links-surface fit.,0.28,not_available_in_v3_source,1.79,4.15,9.59,35.3,64.7,"NSI=31.6(w=0.40) + VFS=66.2(w=0.30) + VHN=42.9(w=0.15) + FORM=53.1(w=0.15) = VTS=46.9. VFS = base 63.3 + links_delta +2.9. Links trace: raw_sig=+0.723; delta_vfs=+2.89; windows=[6m:+1.918(ev=1,conf=0.40→adj=+0.767) | 12m:+1.058(ev=2,conf=0.75→adj=+0.794) | 24m:+0.539(ev=4,conf=1.00→adj=+0.539) | alltime:+0.692(ev=27,conf=1.00→adj=+0.692)]"
86,Andrew Novak,-0.27,45.16,DEBUT,not_available_in_v3_source,47.79,47.79,1.0,not_available_in_v3_source,0,,49.91,NONE,46.9,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,0.0,not_available_in_v3_source,not_available_in_v3_source,putting volatility on links fescue; below-field structural skill profile,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,46.76,46.76,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,46.9,4,competent approach (SG:APP +0.17) — sufficient for Birkdale's mid-iron corridors.,0.28,not_available_in_v3_source,1.78,4.15,9.58,35.2,64.8,"NSI=45.2(w=0.40) + VFS=47.8(w=0.30) + VHN=49.9(w=0.15) + FORM=46.8(w=0.15) = VTS=46.9. VFS = base 47.0 + links_delta +0.8. Links trace: raw_sig=+0.198; delta_vfs=+0.79; windows=[6m:-0.332(ev=1,conf=0.40→adj=-0.133) | 12m:+0.852(ev=2,conf=0.75→adj=+0.639) | 24m:+0.260(ev=3,conf=0.75→adj=+0.195) | alltime:-0.178(ev=4,conf=1.00→adj=-0.178)]"
87,Ryo Hisatsune,-0.07,46.45,DEBUT,not_available_in_v3_source,44.63,44.63,0.65,not_available_in_v3_source,0,,49.91,NONE,46.83,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,0.0,not_available_in_v3_source,not_available_in_v3_source,putting volatility on links fescue; below-field structural skill profile,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,49.16,49.16,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,46.83,4,competent approach (SG:APP +0.30) — sufficient for Birkdale's mid-iron corridors.,0.27,not_available_in_v3_source,1.78,4.13,9.56,35.0,65.0,"NSI=46.5(w=0.40) + VFS=44.6(w=0.30) + VHN=49.9(w=0.15) + FORM=49.2(w=0.15) = VTS=46.8. VFS = base 51.5 + links_delta -6.8. Links trace: raw_sig=-1.705; delta_vfs=-6.82; windows=[6m:no_data | 12m:-3.662(ev=1,conf=0.40→adj=-1.465) | 24m:-2.053(ev=4,conf=1.00→adj=-2.053) | alltime:-1.850(ev=5,conf=1.00→adj=-1.850)]"
88,Hennie Du Plessis,-0.47,47.1,DEBUT,not_available_in_v3_source,45.16,45.16,1.0,not_available_in_v3_source,0,,49.64,NONE,46.49,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,0.0,not_available_in_v3_source,not_available_in_v3_source,putting volatility on links fescue; below-field structural skill profile,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,44.36,44.36,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,46.49,4,competent approach (SG:APP +0.18) — sufficient for Birkdale's mid-iron corridors.,0.27,not_available_in_v3_source,1.74,4.07,9.44,34.3,65.7,"NSI=47.1(w=0.40) + VFS=45.2(w=0.30) + VHN=49.6(w=0.15) + FORM=44.4(w=0.15) = VTS=46.5. VFS = base 46.1 + links_delta -0.9. Links trace: raw_sig=-0.231; delta_vfs=-0.93; windows=[6m:-0.332(ev=1,conf=0.40→adj=-0.133) | 12m:-0.332(ev=1,conf=0.40→adj=-0.133) | 24m:-0.332(ev=1,conf=0.40→adj=-0.133) | alltime:-1.119(ev=6,conf=1.00→adj=-1.119)]"
89,Lucas Herbert,0.08,38.71,DEBUT,not_available_in_v3_source,50.95,50.95,0.1,not_available_in_v3_source,0,,49.76,NONE,45.88,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,0.0,not_available_in_v3_source,not_available_in_v3_source,putting volatility on links fescue; below-field structural skill profile,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,50.96,50.96,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,45.88,4,competent approach (SG:APP +0.15) — sufficient for Birkdale's mid-iron corridors.,0.26,not_available_in_v3_source,1.68,3.95,9.23,32.9,67.1,"NSI=38.7(w=0.40) + VFS=51.0(w=0.30) + VHN=49.8(w=0.15) + FORM=51.0(w=0.15) = VTS=45.9. VFS = base 50.7 + links_delta +0.2. Links trace: raw_sig=+0.052; delta_vfs=+0.21; windows=[6m:no_data | 12m:no_data | 24m:no_data | alltime:+0.052(ev=9,conf=1.00→adj=+0.052)]"
90,Marco Penge,-1.03,56.77,DEBUT,not_available_in_v3_source,33.54,33.54,1.0,not_available_in_v3_source,0,,49.1,NONE,45.78,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,0.0,not_available_in_v3_source,not_available_in_v3_source,approach liability in primary scoring zone; below-field structural skill profile,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,37.64,37.64,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,45.78,4,near-average approach (SG:APP +0.03) — below the Birkdale threshold; positive links SG signal (+0.674/rd) supports links-surface fit.,0.25,not_available_in_v3_source,1.67,3.93,9.19,32.7,67.3,"NSI=56.8(w=0.40) + VFS=33.5(w=0.30) + VHN=49.1(w=0.15) + FORM=37.6(w=0.15) = VTS=45.8. VFS = base 30.8 + links_delta +2.7. Links trace: raw_sig=+0.674; delta_vfs=+2.70; windows=[6m:+0.339(ev=1,conf=0.40→adj=+0.136) | 12m:+1.251(ev=5,conf=1.00→adj=+1.251) | 24m:+0.926(ev=7,conf=1.00→adj=+0.926) | alltime:+0.038(ev=11,conf=1.00→adj=+0.038)]"
91,Keita Nakajima,0.92,41.29,DEBUT,not_available_in_v3_source,41.07,41.07,1.0,not_available_in_v3_source,0,,49.94,NONE,45.48,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,0.0,not_available_in_v3_source,not_available_in_v3_source,approach liability in primary scoring zone; below-field structural skill profile,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,61.04,61.04,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,45.48,4,competent approach (SG:APP +0.13) — sufficient for Birkdale's mid-iron corridors; positive links SG signal (+0.982/rd) supports links-surface fit.,0.25,not_available_in_v3_source,1.64,3.88,9.09,32.0,68.0,"NSI=41.3(w=0.40) + VFS=41.1(w=0.30) + VHN=49.9(w=0.15) + FORM=61.0(w=0.15) = VTS=45.5. VFS = base 37.1 + links_delta +3.9. Links trace: raw_sig=+0.982; delta_vfs=+3.93; windows=[6m:+3.168(ev=1,conf=0.40→adj=+1.267) | 12m:+1.649(ev=3,conf=0.75→adj=+1.237) | 24m:+0.559(ev=6,conf=1.00→adj=+0.559) | alltime:-0.061(ev=9,conf=1.00→adj=-0.061)]"
92,Scott Vincent,1.14,41.94,DEBUT,not_available_in_v3_source,38.57,38.57,0.1,not_available_in_v3_source,0,,50.06,NONE,45.41,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone.,0.0,not_available_in_v3_source,not_available_in_v3_source,approach liability in primary scoring zone; below-field structural skill profile,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,63.68,63.68,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,45.41,4,below-average approach (SG:APP -0.17) — significant exposure in the primary scoring zone.,0.25,not_available_in_v3_source,1.64,3.86,9.07,31.9,68.1,"NSI=41.9(w=0.40) + VFS=38.6(w=0.30) + VHN=50.1(w=0.15) + FORM=63.7(w=0.15) = VTS=45.4. VFS = base 39.4 + links_delta -0.8. Links trace: raw_sig=-0.195; delta_vfs=-0.78; windows=[6m:no_data | 12m:no_data | 24m:no_data | alltime:-0.487(ev=1,conf=0.40→adj=-0.195)]"
93,Haotong Li,-0.92,38.06,FULL,not_available_in_v3_source,45.79,45.79,1.0,not_available_in_v3_source,1,3.052,68.04,LIGHT,45.01,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,Anti-pattern flags: Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,0.0,not_available_in_v3_source,not_available_in_v3_source,below-field structural skill profile,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,38.96,38.96,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,45.01,4,competent approach (SG:APP +0.22) — sufficient for Birkdale's mid-iron corridors; single Birkdale event on record (SG +3.052/rd) — limited but positive signal.,0.24,not_available_in_v3_source,1.6,3.79,8.93,31.0,69.0,"NSI=38.1(w=0.40) + VFS=45.8(w=0.30) + VHN=68.0(w=0.15) + FORM=39.0(w=0.15) = VTS=45.0. VFS = base 48.3 + links_delta -2.5. Links trace: raw_sig=-0.617; delta_vfs=-2.47; windows=[6m:-1.661(ev=1,conf=0.40→adj=-0.664) | 12m:-0.912(ev=4,conf=1.00→adj=-0.912) | 24m:-0.123(ev=7,conf=1.00→adj=-0.123) | alltime:-0.408(ev=24,conf=1.00→adj=-0.408)]"
94,Henrik Stenson,0,18.71,FULL,not_available_in_v3_source,70.33,70.33,0.3,not_available_in_v3_source,2,2.46,71.31,MODERATE,44.49,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,0.0,not_available_in_v3_source,not_available_in_v3_source,putting volatility on links fescue; below-field structural skill profile,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,34.76,34.76,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,44.49,4,"competent approach (SG:APP +0.37) — sufficient for Birkdale's mid-iron corridors; proven Birkdale performer (2 events, SG +2.460/rd at course).",0.23,not_available_in_v3_source,1.55,3.7,8.76,29.9,70.1,"NSI=18.7(w=0.40) + VFS=70.3(w=0.30) + VHN=71.3(w=0.15) + FORM=34.8(w=0.15) = VTS=44.5. VFS = base 69.0 + links_delta +1.4. Links trace: raw_sig=+0.341; delta_vfs=+1.36; windows=[6m:no_data | 12m:no_data | 24m:-0.589(ev=1,conf=0.40→adj=-0.236) | alltime:+1.494(ev=24,conf=1.00→adj=+1.494)]"
95,Ren Yonezawa,0.16,22.58,DEBUT,not_available_in_v3_source,65.21,65.21,0.0,not_available_in_v3_source,0,,50.42,NONE,43.95,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,0.0,not_available_in_v3_source,not_available_in_v3_source,putting volatility on links fescue; below-field structural skill profile,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,51.92,51.92,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,43.95,4,elite approach (SG:APP +0.81) — directly meets Birkdale's 175–225yd demand.,0.22,not_available_in_v3_source,1.51,3.6,8.59,28.8,71.2,NSI=22.6(w=0.40) + VFS=65.2(w=0.30) + VHN=50.4(w=0.15) + FORM=51.9(w=0.15) = VTS=44.0. VFS = base 65.2 + links_delta +0.0. Links trace: No links data — zero signal applied.
96,Stewart Cink,0.24,36.13,FULL,not_available_in_v3_source,51.45,51.45,0.3,not_available_in_v3_source,2,-1.218,33.59,MODERATE,42.86,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone.,0.0,not_available_in_v3_source,not_available_in_v3_source,approach liability in primary scoring zone; below-field structural skill profile,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,52.88,52.88,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,42.86,4,"below-average approach (SG:APP -1.51) — significant exposure in the primary scoring zone; proven Birkdale performer (2 events, SG -1.218/rd at course).",0.21,not_available_in_v3_source,1.42,3.42,8.25,26.6,73.4,"NSI=36.1(w=0.40) + VFS=51.5(w=0.30) + VHN=33.6(w=0.15) + FORM=52.9(w=0.15) = VTS=42.9. VFS = base 52.3 + links_delta -0.9. Links trace: raw_sig=-0.218; delta_vfs=-0.87; windows=[6m:no_data | 12m:no_data | 24m:-0.814(ev=2,conf=0.75→adj=-0.610) | alltime:+0.566(ev=20,conf=1.00→adj=+0.566)]"
