Last Name,First Name,Fairway shots- 50-100yrd,Fairway shots- 50-100yrd value,Fairway shots- 100-150yrd,Fairway shots- 100-150yrd Value,Fairway shots- 150-200yrd,Fairway shots- 150-200yrd value,Fairway shots- Over 200yrd,Fairway shots- Over 200yrd value,Rough shots- Under 150yrd,Rough shots- Under 150yrd value,Rough shots- Over 150yrd,Rough shots- Over 150yrd value
SMALLEY,ALEX,95,0.025,326,0.032,424,0.001,186,0.046,128,0.06,148,0.006
FOX,RYAN,70,0.018,277,0.032,326,-0.031,173,0.051,128,0.039,152,0.051
CASEY,PAUL,50,0.041,168,0.032,205,0.067,106,0.074,75,-0.113,61,0.079
WU,DYLAN,43,0.047,175,0.032,240,-0.017,96,0.012,72,0,81,-0.039
HATTON,TYRRELL,70,0.003,239,0.03,275,0.043,156,0.038,120,0.039,93,-0.029
KIZZIRE,PATTON,66,-0.009,185,0.03,265,-0.033,118,-0.036,107,0.038,114,-0.029
BERGER,DANIEL,86,0.052,244,0.029,440,0.042,224,0.044,102,0.071,140,0.022
CHATFIELD,DAVIS,40,-0.031,115,0.029,179,-0.01,79,0.033,39,-0.101,48,-0.102
MCNEALY,MAVERICK,114,-0.001,318,0.029,470,-0.008,256,0.018,166,-0.012,167,0.009
HOGE,TOM,126,0.055,319,0.029,472,-0.02,225,0.042,159,0.029,188,0.03
CAULEY,BUD,102,0.065,298,0.028,453,0.035,213,0.029,119,-0.087,160,-0.018
SCOTT,ADAM,67,0.059,235,0.028,345,0.039,174,0.053,96,0.036,134,0.023
REDMAN,DOC,13,0.222,47,0.028,63,0.052,NULL,NULL,19,-0.015,NULL,NULL
KOIVUN,JACKSON,19,-0.204,85,0.027,91,0.122,52,0.033,30,0.005,24,-0.096
PETERSON,PAUL,60,0.09,146,0.027,214,-0.037,106,0.034,58,0.054,42,-0.046
SCHAUFFELE,XANDER,64,0.029,252,0.026,382,0.037,192,0.06,122,0.038,130,0.009
YOUNG,CAMERON,92,0.059,356,0.026,398,0.041,235,-0.008,141,0.091,127,0.03
SKINNS,DAVID,39,0.033,182,0.026,240,0.05,103,-0.037,79,0.046,57,0.049
TAYLOR,NICK,92,0.029,321,0.026,462,0.012,244,0.014,135,0.043,157,-0.006
MEISSNER,MAC,84,-0.032,337,0.025,425,0.024,186,0.039,127,-0.001,150,-0.001
COLE,ERIC,63,0.066,245,0.025,356,0.024,169,-0.006,177,0.005,160,0.049
SUBER,JACKSON,82,-0.084,235,0.025,330,-0.039,160,0.071,127,-0.035,89,0.072
FITZPATRICK,MATT,73,0.096,308,0.025,459,0.038,231,0.083,91,0.041,129,0.019
BRADLEY,KEEGAN,89,-0.023,296,0.024,460,0.005,236,0.045,150,0.016,124,-0.033
CLANTON,LUKE,52,-0.001,226,0.023,319,0.008,143,0.002,102,0.017,115,0.003
ROZNER,ANTOINE,16,-0.007,90,0.023,124,-0.002,57,0.073,29,0.038,34,-0.041
DAHMEN,JOEL,71,0.036,220,0.022,345,-0.018,157,-0.011,92,0.009,71,0.046
ECKROAT,AUSTIN,64,-0.048,212,0.022,298,0.057,130,0.01,113,0.05,105,-0.051
POWER,SEAMUS,61,-0.021,270,0.021,381,-0.044,149,0.027,118,0.04,114,-0.067
THOMPSON,DAVIS,88,0.056,274,0.021,353,0.014,162,-0.053,124,-0.02,96,0.009
MCKIBBIN,TOM,62,0.064,233,0.021,294,-0.012,137,-0.027,107,-0.018,55,-0.033
HALL,HARRY,104,0.106,289,0.021,431,-0.023,226,-0.008,138,-0.003,151,-0.01
STRAKA,SEPP,79,0.05,252,0.021,416,0.019,196,0.035,95,0.005,128,-0.021
BLAIR,ZAC,79,0.112,176,0.019,270,-0.023,136,0.144,69,0.048,70,0.006
NOREN,ALEX,77,-0.063,235,0.019,413,-0.011,208,0.019,92,0.026,126,0.047
KOZUMA,JINICHIRO,25,-0.007,52,0.018,50,-0.045,29,-0.103,26,-0.079,NULL,NULL
DUNCAN,TYLER,13,0.19,72,0.018,61,0.068,44,-0.121,16,-0.082,NULL,NULL
CLARK,WYNDHAM,90,0.081,289,0.018,385,0.029,187,0.06,148,0.101,147,-0.04
SPIETH,JORDAN,107,0.077,277,0.018,462,-0.026,215,-0.001,171,0.061,144,-0.024
TODD,BRENDON,21,-0.024,48,0.018,64,-0.207,NULL,NULL,16,0.034,25,-0.038
HOJGAARD,RASMUS,84,-0.045,198,0.018,254,0.002,132,0.042,132,-0.016,129,-0.003
AN,BYEONG HUN,82,-0.021,189,0.018,250,-0.027,128,-0.009,166,0.059,102,-0.084
BAUCHOU,ZACH,58,0.106,153,0.016,260,0.009,114,0.043,100,-0.008,102,0.047
YU,KEVIN,92,-0.002,238,0.015,332,0.021,153,0.036,121,-0.031,98,-0.086
FOWLER,RICKIE,76,-0.013,308,0.015,438,-0.002,209,0.041,123,0.044,142,0.023
HIGGO,GARRICK,83,-0.057,242,0.014,299,0.008,138,-0.007,125,-0.022,111,-0.081
NORLANDER,HENRIK,19,0.015,105,0.014,184,-0.009,75,-0.038,48,0.001,59,0.072
LIPSKY,DAVID,58,0.048,231,0.013,312,0.029,164,-0.02,97,-0.025,108,-0.04
LEBIODA,HANK,28,0.09,141,0.013,203,0.045,87,-0.012,71,0.003,82,-0.071
SVENSSON,JESPER,78,0.103,179,0.013,225,-0.038,116,-0.029,107,0.073,80,-0.053
MCDOWELL,GRAEME,61,-0.052,222,0.013,255,0.004,127,0.041,111,-0.005,77,-0.031
RILEY,DAVIS,75,-0.026,210,0.013,285,-0.034,123,-0.099,130,0.008,149,-0.019
GRILLO,EMILIANO,70,-0.026,326,0.013,445,0.009,216,0.048,116,0.004,106,-0.006
MITCHELL,KEITH,131,0.021,278,0.012,388,0.022,213,0.005,202,0.022,147,0.008
MERONK,ADRIAN,55,-0.048,184,0.012,236,0,113,0.008,113,-0.049,94,-0.01
MCGREEVY,MAX,68,0.016,292,0.012,425,-0.009,193,0.052,107,-0.025,130,0.035
HISATSUNE,RYO,111,0.001,384,0.011,486,-0.002,233,0.05,162,0.03,139,0.031
GLOVER,LUCAS,81,0.113,265,0.01,375,0.013,178,-0.048,77,0.081,109,0.063
NA,KEVIN,19,-0.017,60,0.01,65,-0.033,31,-0.025,20,0.035,NULL,NULL
MACINTYRE,ROBERT,78,-0.047,325,0.01,459,-0.023,219,0.019,155,0.03,148,-0.012
RAHM,JON,83,0.117,254,0.01,288,0.045,159,0.121,137,0.012,88,0.065
ORMSBY,WADE,14,-0.042,65,0.01,70,-0.132,28,-0.122,19,0.112,NULL,NULL
DOU,ZECHENG,50,0.041,139,0.01,208,0.03,92,0.092,95,-0.037,100,-0.017
LEISHMAN,MARC,58,-0.048,200,0.009,273,0,132,0.003,95,-0.033,78,0.075
ONISHI,KAITO,21,-0.03,63,0.008,84,-0.03,42,0.052,35,-0.015,27,-0.028
NYHOLM,PONTUS,40,0.041,101,0.008,159,-0.048,68,-0.012,95,-0.081,80,0.031
ECHAVARRIA,NICO,85,-0.025,284,0.008,428,0.018,207,-0.034,129,0.068,138,0.038
GOOCH,TALOR,49,-0.097,203,0.008,271,0.004,131,0.089,73,0.061,78,0.035
PAK,JOHN,25,-0.108,81,0.008,85,-0.004,42,0.014,32,-0.07,NULL,NULL
ANCER,ABRAHAM,56,0.039,250,0.007,234,0.035,123,0.017,67,0.036,66,0.055
GOTTERUP,CHRIS,136,0.025,349,0.007,430,0.028,249,0,191,0.074,196,0.013
VILIPS,KARL,68,0.068,215,0.007,309,-0.008,119,0.028,143,-0.006,135,-0.039
PENDRITH,TAYLOR,116,-0.053,306,0.006,379,0,205,0.014,157,0.013,162,0.003
HOMA,MAX,83,0.036,253,0.006,381,-0.018,186,0.036,136,0.005,130,0.017
FLEETWOOD,TOMMY,81,0.044,278,0.006,424,0.024,229,0.075,82,0.027,122,-0.023
THORNBERRY,BRADEN,31,0.027,79,0.006,101,-0.098,44,-0.07,60,-0.017,40,-0.051
SPAUN,J.J.,93,0.067,327,0.006,457,0.057,215,0.079,113,0.068,112,0.095
GOMEZ,FABIAN,NULL,NULL,40,0.006,54,0.025,41,0.018,16,0.102,NULL,NULL
OLESEN,THORBJORN,64,0.026,224,0.006,309,-0.017,121,0.023,104,0.055,113,-0.026
WESTWOOD,LEE,64,-0.068,188,0.006,230,0.001,117,-0.015,59,0.026,70,0.005
STREELMAN,KEVIN,42,0.007,158,0.005,189,-0.003,74,-0.01,52,-0.014,69,-0.087
PEREZ,VICTOR,57,-0.08,211,0.005,324,-0.008,156,0.071,97,0.038,87,-0.021
KIM,ANTHONY,54,0.041,186,0.005,246,-0.001,118,-0.015,118,0.021,79,0.002
LEE,MIN WOO,57,0.013,236,0.005,322,-0.01,158,0.047,112,-0.049,107,-0.03
COODY,PIERCESON,89,0.069,306,0.005,412,-0.006,203,0.03,155,0.008,138,-0.033
YELLAMARAJU,SUDARSHAN,45,0.042,242,0.004,305,-0.025,140,0.069,103,0.04,103,0.009
LA SASSO,MICHAEL,53,-0.128,147,0.004,203,-0.04,97,0.009,95,-0.085,84,-0.047
RODGERS,PATRICK,96,-0.084,319,0.003,453,-0.001,227,-0.009,177,0.008,205,0.063
WALLACE,MATT,73,0.096,203,0.002,375,0.027,146,0.003,111,0.022,118,-0.004
VAN ROOYEN,ERIK,63,-0.028,204,0.002,295,-0.066,128,-0.05,105,0.005,114,-0.007
HODGES,LEE,62,-0.053,235,0.002,332,0.022,143,0.074,89,0.016,96,-0.092
PHILLIPS,CHANDLER,73,0.014,238,0.002,319,-0.069,146,-0.071,121,-0.008,114,-0.049
ROSENMUELLER,THOMAS,51,-0.023,115,0.002,140,0.057,75,0.05,59,-0.036,29,0.084
VARNER III,HAROLD,64,-0.066,168,0.002,230,0.03,129,0.04,111,0.013,84,0.045
LAHIRI,ANIRBAN,53,-0.064,211,0.001,228,-0.06,125,-0.003,105,0.02,56,-0.06
YOUNG,CARSON,37,0.046,162,0.001,185,-0.007,93,0.014,58,0.055,52,-0.041
JARVIS,CASEY,16,0.177,47,0.001,62,0.021,34,0.091,22,-0.012,26,0.061
HIGHSMITH,JOE,57,0.026,287,0,343,-0.029,149,0.009,127,-0.011,136,-0.037
REAVIE,CHEZ,17,-0.014,50,0,56,0.039,28,-0.047,23,0.094,NULL,NULL
BEZUIDENHOUT,CHRISTIAAN,87,0.105,273,-0.001,423,0.018,199,0.012,107,0.029,121,0.028
ROZO,MARCELO,38,0.047,107,-0.001,165,0.003,74,-0.049,36,0.002,50,-0.013
REITAN,KRISTOFFER,68,0.011,255,-0.001,321,-0.002,179,-0.002,113,0.062,106,0.007
KIM,CHAN,40,-0.004,168,-0.002,197,0.024,99,0.003,68,-0.022,65,-0.011
GRIFFIN,BEN,100,0.042,310,-0.002,495,-0.026,232,0.009,158,0.038,175,0.054
VALIMAKI,SAMI,38,-0.028,194,-0.002,311,-0.001,126,0.011,79,0.064,102,0.047
DAY,JASON,68,0.026,215,-0.002,339,-0.053,167,-0.065,104,0.069,114,0.014
THORBJORNSEN,MICHAEL,108,0.058,312,-0.003,407,-0.017,193,0.022,141,-0.015,107,0.017
BROWN,DAN,58,0.075,134,-0.004,218,-0.011,107,0.056,84,-0.048,72,-0.01
ASAJI,YOSUKE,30,-0.059,142,-0.004,190,-0.022,82,0,87,-0.035,59,-0.025
SILVERMAN,BEN,50,0.007,187,-0.004,204,-0.003,105,-0.055,61,0.079,67,-0.033
NOVAK,ANDREW,135,0.05,262,-0.004,489,0.009,249,0.009,148,-0.047,192,0.03
CUMMINS,QUADE,21,-0.006,100,-0.004,97,-0.06,47,-0.148,45,0.032,34,-0.041
LOWER,JUSTIN,39,0.012,183,-0.005,258,-0.04,112,-0.024,69,0.015,70,-0.008
SCHENK,ADAM,99,-0.017,224,-0.005,319,-0.006,151,-0.047,150,-0.033,120,-0.003
MCCARTHY,DENNY,87,0.055,284,-0.005,462,-0.005,221,0.008,117,-0.03,172,0.018
MULLINAX,TREY,29,0.107,82,-0.005,120,0.02,53,-0.025,63,0.025,36,0.096
MOUW,WILLIAM,61,-0.062,242,-0.006,361,-0.004,177,0.092,117,0.017,113,-0.03
RAMEY,CHAD,92,0.04,281,-0.006,365,-0.027,159,-0.012,129,-0.044,123,-0.033
BYRD,JONATHAN,30,0.011,75,-0.006,86,-0.101,55,-0.106,34,-0.039,38,0.024
STEVENS,SAM,111,0.055,334,-0.006,478,0.005,215,-0.04,174,0.032,138,0.013
NESMITH,MATT,19,-0.055,58,-0.006,68,-0.063,36,-0.025,25,-0.096,NULL,NULL
DECHAMBEAU,BRYSON,72,0.008,223,-0.006,259,0.012,149,0.055,107,-0.042,80,-0.025
CROWE,TRACE,20,0.079,67,-0.007,66,-0.04,34,-0.033,33,-0.054,20,-0.058
PARRY,JOHN,69,0.034,212,-0.007,332,0.043,150,0.021,93,0.068,101,0.022
HIGGS,HARRY,49,0.016,146,-0.007,198,-0.028,108,0.032,79,0.054,56,0.01
ORTIZ,CARLOS,75,-0.005,197,-0.009,258,-0.009,133,-0.007,112,0.035,103,0.057
FISK,STEVEN,106,0.024,279,-0.009,397,-0.005,172,-0.008,161,0.002,126,-0.05
WOODLAND,GARY,108,0.021,239,-0.01,384,0.013,192,0.079,139,0.012,127,0.012
BRENNAN,MICHAEL,86,0.078,221,-0.01,314,-0.022,147,0.088,128,-0.006,76,-0.015
JONES,MATT,24,-0.101,59,-0.01,NULL,NULL,28,-0.029,19,0.059,19,0.102
POTGIETER,ALDRICH,67,-0.058,173,-0.01,260,-0.014,138,0.067,124,-0.07,122,0.038
GREYSERMAN,MAX,75,-0.024,229,-0.01,325,-0.009,156,0.042,148,0.029,117,-0.025
DAVIS,CAM,39,0.032,125,-0.01,214,-0.03,88,-0.051,63,0.025,97,-0.11
HARRINGTON,PADRAIG,NULL,NULL,51,-0.011,65,0.007,37,-0.028,31,0.123,37,0.046
BROWN,BLADES,22,-0.089,90,-0.011,114,0.058,55,-0.008,32,0.032,37,-0.006
SONG,YOUNGHAN,33,0,143,-0.011,230,-0.025,107,0.008,58,0.004,44,-0.017
